city,state,tech_employer_count,vc_investment_usd,cost_of_living_index,safety_index,asian_population_pct,median_household_income,climate_zone,finance_hub_distance_km,federal_lab_count,nsf_funding_total,data_year
Stanford,CA,8500,95000000000,178.2,0.72,35.4,168400,Mediterranean,540,5,4200000000,2025
Cambridge,MA,4200,28000000000,162.4,0.65,18.7,104000,Humid continental,310,3,3800000000,2025
Pittsburgh,PA,1800,3200000000,95.8,0.62,5.8,65200,Humid continental,490,2,1500000000,2025
Berkeley,CA,7200,85000000000,172.5,0.58,33.2,128900,Mediterranean,560,4,3900000000,2025
Atlanta,GA,3500,7500000000,103.2,0.55,6.8,71200,Humid subtropical,1220,1,1200000000,2025
Champaign,IL,320,180000000,88.4,0.70,12.1,49800,Humid continental,820,1,800000000,2025
West Lafayette,IN,280,120000000,86.2,0.74,10.5,46500,Humid continental,780,0,600000000,2025
Madison,WI,950,650000000,102.8,0.75,8.2,72800,Humid continental,610,0,900000000,2025
University Park,PA,150,80000000,92.5,0.82,8.8,52000,Humid continental,420,1,750000000,2025
Tempe,AZ,2200,2800000000,103.5,0.58,5.5,67300,Hot desert,590,1,500000000,2025
Princeton,NJ,3800,6500000000,131.4,0.78,22.5,130500,Humid subtropical,85,2,1100000000,2025
New Haven,CT,800,1200000000,115.8,0.52,5.2,45600,Humid continental,120,0,950000000,2025
New York,NY,12000,45000000000,187.2,0.58,16.4,76100,Humid subtropical,0,2,2800000000,2025
Philadelphia,PA,3200,5800000000,114.6,0.52,7.8,52600,Humid subtropical,140,1,1600000000,2025
Ithaca,NY,180,90000000,104.2,0.78,14.2,48500,Humid continental,380,1,650000000,2025
Providence,RI,650,450000000,108.5,0.60,4.8,51000,Humid continental,280,0,400000000,2025
Hanover,NH,120,60000000,118.6,0.85,6.5,80200,Humid continental,350,0,350000000,2025
Durham,NC,2800,4200000000,98.6,0.62,6.2,64700,Humid subtropical,880,1,2200000000,2025
Evanston,IL,3800,6200000000,112.8,0.60,10.5,85600,Humid continental,1050,3,1400000000,2025
Baltimore,MD,2400,2800000000,106.2,0.45,6.1,55400,Humid subtropical,50,5,2600000000,2025
Pasadena,CA,6800,78000000000,168.4,0.68,18.5,84600,Mediterranean,580,3,3200000000,2025
Chicago,IL,5200,9800000000,107.5,0.52,7.6,65000,Humid continental,0,3,1800000000,2025
Houston,TX,4800,6200000000,96.5,0.55,8.5,63800,Humid subtropical,1620,2,1100000000,2025
Nashville,TN,1500,2800000000,98.4,0.58,4.2,63500,Humid subtropical,1250,0,450000000,2025
St. Louis,MO,1200,1500000000,89.8,0.48,3.8,58100,Humid continental,950,1,800000000,2025
Washington,DC,5500,8500000000,152.8,0.55,10.8,93500,Humid subtropical,0,6,2400000000,2025
Los Angeles,CA,9200,42000000000,166.8,0.55,16.2,73500,Mediterranean,0,2,2100000000,2025
Medford,MA,4200,28000000000,162.4,0.65,18.7,104000,Humid continental,310,3,3800000000,2025
Boston,MA,4200,28000000000,162.4,0.65,18.7,104000,Humid continental,310,3,3800000000,2025
Ann Arbor,MI,1200,1100000000,108.2,0.72,16.8,73200,Humid continental,620,0,1200000000,2025
Charlottesville,VA,350,280000000,108.5,0.75,7.2,68500,Humid subtropical,160,0,550000000,2025
Chapel Hill,NC,2200,3500000000,99.8,0.68,6.5,62800,Humid subtropical,910,1,1800000000,2025
La Jolla,CA,4500,8200000000,162.5,0.72,18.5,112000,Mediterranean,580,2,2400000000,2025
Gainesville,FL,280,120000000,92.4,0.62,5.8,42500,Humid subtropical,1580,0,500000000,2025
Austin,TX,5500,8500000000,103.8,0.62,7.5,80500,Humid subtropical,1680,0,850000000,2025
Seattle,WA,8800,18000000000,152.6,0.60,17.8,110200,Marine west coast,4100,1,1600000000,2025
Columbus,OH,1800,1200000000,92.5,0.58,5.8,58200,Humid continental,680,1,700000000,2025
Davis,CA,5800,72000000000,142.5,0.72,22.8,76500,Mediterranean,600,2,1800000000,2025
Irvine,CA,5200,15000000000,158.2,0.78,42.5,108500,Mediterranean,560,0,1200000000,2025
College Park,MD,3200,4500000000,128.5,0.55,12.8,82500,Humid subtropical,40,5,2200000000,2025
Minneapolis,MN,2500,2800000000,105.2,0.62,8.5,73200,Humid continental,1200,0,800000000,2025
New Brunswick,NJ,3800,6500000000,125.4,0.62,18.2,95000,Humid subtropical,55,1,900000000,2025
Williamstown,MA,80,20000000,112.5,0.88,3.2,58000,Humid continental,260,0,50000000,2025
Amherst,MA,250,80000000,108.5,0.80,6.5,55000,Humid continental,300,0,350000000,2025
Wellesley,MA,4200,28000000000,162.4,0.75,18.7,168400,Humid continental,310,3,3800000000,2025
Blacksburg,VA,180,60000000,88.5,0.82,6.8,48500,Humid continental,440,1,400000000,2025
Raleigh,NC,3200,4800000000,98.2,0.65,6.8,72500,Humid subtropical,900,1,1600000000,2025
East Lansing,MI,800,450000000,92.5,0.68,8.2,52000,Humid continental,640,0,500000000,2025
Boulder,CO,2200,2500000000,128.5,0.75,5.8,82500,Semi-arid,2600,3,1200000000,2025
Salt Lake City,UT,2800,3200000000,102.8,0.65,5.2,75800,Semi-arid,2200,0,450000000,2025
Ames,IA,180,60000000,88.2,0.80,8.5,48200,Humid continental,950,1,350000000,2025
Eugene,OR,450,180000000,108.5,0.68,4.5,52800,Marine west coast,3800,0,280000000,2025
Tucson,AZ,1200,650000000,96.8,0.55,4.2,48000,Hot desert,600,1,550000000,2025
Bloomington,IN,220,80000000,88.8,0.72,6.5,44500,Humid continental,750,0,350000000,2025
Columbia,SC,650,280000000,95.5,0.52,3.2,52500,Humid subtropical,1050,0,250000000,2025
Rochester,NY,800,320000000,95.2,0.58,4.5,52800,Humid continental,420,1,450000000,2025
Hoboken,NJ,12000,45000000000,172.5,0.62,18.5,98500,Humid subtropical,5,2,2800000000,2025
San Jose,CA,9500,85000000000,178.5,0.68,38.2,138600,Mediterranean,540,4,3500000000,2025
Notre Dame,IN,220,80000000,88.8,0.72,4.2,44500,Humid continental,750,0,200000000,2025
